User-ID;ISBN;Book-Rating
276726;0155061224;5
276788;043935806X;7
276822;0142302198;10
276822;0156006065;9
276847;3551551677;10
276847;3551551685;10
276847;3551551693;10
276847;3551551936;10
276884;0151446474;0
276925;0151010633;0
276925;0192834312;0
276925;0194216748;5
276925;0240514866;0
276925;0439284031;0
276925;0439286239;0
276925;0747545111;0
276929;0439064864;0
276939;059035342X;0
276964;0312169817;6
276989;0312244266;0
277042;0299164942;0
277042;0312283709;8
277157;0312253397;0
277195;015644450X;0
277195;0156799804;0
277195;031214816X;0
277195;0312204809;0
277203;030700645X;8
277203;0307127923;8
277203;0307302016;8
277203;0307302636;8
277203;0307987655;8
277229;0312282990;7
277363;0156027321;8
277363;0312187335;0
277367;0312276885;10
277378;0192827588;8
277378;0312195516;7
277408;0312253435;0
277427;015200405X;0
277427;0152050167;10
277427;0156000024;0
277427;0195009428;0
277427;0195283554;0
277427;0201000822;10
277427;0310205719;0
277427;0310221498;0
277427;0310268001;0
277427;0310396514;0
277427;0310435706;10
277427;0310803063;0
277427;0312302487;0
277427;0439064872;0
277427;0439136369;0
277427;043936213X;0
277434;0312144075;0
277435;031215125X;8
277439;0312242026;5
277462;0312195516;10
277478;0146000552;0
277478;0226244954;0
277478;0304359416;7
277478;0312113420;7
277478;0312275366;0
277488;2070528189;0
277509;0192823523;8
277509;0312261276;0
277523;0312289723;10
277527;0312203675;0
277575;0142004235;5
277586;0312202318;2
277623;0312167792;7
277623;0312290659;9
277639;030702024X;8
277639;0307605701;9
277768;0312171838;0
277892;0151006903;0
277923;0226848639;10
277928;0312283709;0
277937;0312195516;0
277938;0142004278;0
277959;0156027321;8
277964;0307101711;10
277965;0312312873;7
278020;0192717529;0
278064;0283073381;6
278070;0201354705;4
278074;0312246501;0
278098;0307126293;10
278137;0310239826;8
278137;0312088027;8
278137;0312195516;0
278144;0310205719;0
278144;0310252172;0
278162;059035342X;10
278188;0156005891;8
278188;0195204891;0
278194;0156007819;3
278194;0156011042;7
278202;0312252617;4
278218;0224060198;8
278243;0156027321;8
278243;0156711427;8
278328;0312202911;7
278336;0312275420;9
278346;0312009941;9
278346;0312205155;0
278350;0312195516;9
278356;0156612062;0
278356;0192828630;0
278356;0312265859;7
278356;0439064872;8
278356;0439136369;10
278356;0439139600;10
278356;043935806X;10
278356;059035342X;0
278418;0146000552;0
278418;0151238162;0
278418;0151306400;0
278418;0151310750;0
278418;0151544964;0
278418;0151594805;0
278418;0151730857;0
278418;0151879788;0
278418;0152006044;0
278418;0152013725;0
278418;0152018638;0
278418;0152234985;0
278418;0152268332;0
278418;0152339000;0
278418;0152423885;0
278418;0152986103;0
278418;015299646X;0
278418;0153472804;0
278418;015540475X;0
278418;0156423502;0
278418;0156528207;0
278418;015679201X;0
278418;0192816071;7
278418;0192833898;0
278418;0200717294;0
278418;0201432986;0
278418;0246134984;0
278418;025602670X;0
278418;0256093601;0
278418;0256106525;0
278418;0256124531;0
278418;0256169179;0
278418;0300028172;0
278418;0307000699;0
278418;0307000826;0
278418;0307000966;0
278418;0307000974;0
278418;0307001008;0
278418;0307001067;0
278418;0307001091;0
278418;0307001105;0
278418;0307001113;0
278418;030700113X;0
278418;0307001164;0
278418;0307001202;0
278418;0307001237;0
278418;0307001245;0
278418;0307001296;0
278418;0307001385;0
278418;0307001458;0
278418;0307002047;0
278418;0307002144;0
278418;0307003264;0
278418;0307004589;0
278418;0307006441;0
278418;030700645X;0
278418;0307010007;0
278418;0307010015;0
278418;0307010082;0
278418;030701021X;0
278418;030701035X;0
278418;0307010368;0
278418;0307010376;0
278418;0307010449;0
278418;0307010945;0
278418;0307010953;0
278418;0307020010;0
278418;0307020193;0
278418;0307020223;0
278418;0307020231;0
278418;0307020258;0
278418;0307020339;0
278418;0307020355;0
278418;0307020460;0
278418;030702055X;0
278418;0307020584;0
278418;0307020649;0
278418;0307020711;0
278418;0307020827;0
278418;0307021017;0
278418;0307021076;0
278418;0307021106;0
278418;030702122X;0
278418;0307021343;0
278418;0307021572;0
278418;0307021653;0
278418;0307021688;0
278418;0307021696;0
278418;0307021718;0
278418;0307021726;0
278418;0307021750;0
278418;0307021777;0
278418;0307021785;0
278418;0307021858;0
278418;0307022196;5
278418;0307022390;0
278418;0307030016;0
278418;0307030504;0
278418;0307030601;0
278418;0307030709;0
278418;0307030768;0
278418;0307030806;0
278418;0307030849;0
278418;0307039161;0
278418;0307045242;0
278418;0307045501;0
278418;0307045927;0
278418;0307045935;0
278418;030704601X;0
278418;0307046028;0
278418;0307046117;0
278418;0307060330;0
278418;0307060624;0
278418;0307060845;0
278418;0307061086;0
278418;030707000X;0
278418;0307070190;0
278418;0307070387;0
278418;0307070468;0
278418;0307070484;0
278418;0307070565;0
278418;0307070573;0
278418;0307071014;0
278418;0307076032;0
278418;0307100022;0
278418;0307100111;0
278418;0307100189;0
278418;0307100278;0
278418;0307100324;0
278418;0307100359;0
278418;0307100456;0
278418;0307100464;0
278418;0307100553;0
278418;0307100561;0
278418;030710057X;0
278418;0307100626;0
278418;0307100707;0
278418;0307100723;0
278418;0307100782;0
278418;0307100790;0
278418;0307100812;0
278418;0307100863;0
278418;0307100928;0
278418;0307100936;0
278418;0307101002;0
278418;0307101088;0
278418;0307101134;0
278418;0307101177;0
278418;0307101231;0
278418;030710124X;0
278418;0307101258;0
278418;0307101274;0
278418;0307101320;0
278418;0307101363;0
278418;0307101398;0
278418;0307101401;0
278418;0307101452;0
278418;0307101479;0
278418;0307101541;0
278418;0307101622;0
278418;0307101630;0
278418;0307101649;0
278418;0307101657;0
278418;0307101703;0
278418;0307101711;0
278418;0307101746;0
278418;0307101762;0
278418;0307102491;0
278418;030710253X;0
278418;0307102602;0
278418;0307102793;0
278418;0307102823;0
278418;0307103781;0
278418;0307104605;0
278418;0307105520;0
278418;0307105539;0
278418;0307105563;0
278418;0307105571;0
278418;0307105598;0
278418;030710561X;0
278418;0307109003;0
278418;0307109089;0
278418;0307109100;0
278418;0307109275;0
278418;0307111326;0
278418;0307111822;0
278418;0307113221;0
278418;0307113248;0
278418;030711466X;0
278418;0307114686;0
278418;0307114724;0
278418;0307115232;0
278418;0307115356;0
278418;0307115399;0
278418;0307115410;0
278418;0307115534;0
278418;0307115852;0
278418;0307116166;0
278418;0307116573;0
278418;0307116581;0
278418;0307116662;0
278418;0307116824;0
278418;0307117111;0
278418;0307117138;0
278418;0307117146;0
278418;0307117235;0
278418;0307117316;0
278418;0307117332;0
278418;0307117383;0
278418;0307117472;0
278418;030711807X;0
278418;0307118312;0
278418;0307118398;0
278418;0307118401;0
278418;0307118649;0
278418;030711869X;0
278418;0307118703;0
278418;030711886X;0
278418;0307118886;0
278418;0307118975;0
278418;0307119262;0
278418;0307119483;0
278418;0307119599;0
278418;0307119610;0
278418;0307119696;0
278418;0307120112;0
278418;0307120147;0
278418;0307120155;0
278418;0307120236;0
278418;0307121259;0
278418;0307122689;0
278418;0307122999;0
278418;0307123456;0
278418;0307123464;0
278418;030712391X;0
278418;0307123952;0
278418;0307125165;0
278418;0307125289;0
278418;0307125556;0
278418;0307125653;0
278418;0307125890;0
278418;0307126455;0
278418;0307126927;0
278418;0307127346;0
278418;0307127907;0
278418;0307127923;0
278418;0307128237;0
278418;0307128407;0
